process_id,n_files
402001,66
402003,64
402005,65
402007,62
402009,62
402011,143
402106,4
402107,6
402101,8
402102,8
402703,8
402109,4
402108,14
402103,10
402701,7
402702,8
402104,34
402105,35
402142,3
402143,6
402137,8
402138,8
402715,7
402145,3
402144,14
402139,10
402713,7
402714,7
402140,33
402141,34
402160,4
402161,6
402155,8
402156,8
402721,8
402163,4
402162,15
402157,10
402719,8
402720,8
402158,35
402159,36
402178,3
402179,6
402173,8
402174,7
402727,7
402181,3
402180,12
402175,10
402725,7
402726,7
402176,32
402177,33
402196,3
402197,6
402191,8
402192,7
402733,7
402199,3
402198,12
402193,10
402731,7
402732,7
402194,32
402195,33
402214,8
402215,11
402209,25
402210,15
402739,12
402217,8
402216,35
402211,17
402737,12
402738,12
402212,59
402213,57
500002,4158
500010,42130
500006,2175
500118,362
500106,2737
500114,702
500102,448
500126,104
500122,30
500110,143
500066,7390
500094,206
500082,5524
500062,810
500086,13
500074,277
500090,11
500078,192
500070,6179
500098,173
402309,3
402303,3
402315,3
402307,3
402301,3
402313,3
402311,3
402305,3
402317,3
500318,21
500314,21
500302,20
500310,19
500306,20
500338,23
500334,21
500322,20
500330,20
500326,20
410001,55
410002,50
410005,48
410006,68
410003,47
410004,48
